2025-10-21 16:18:20 | OPENAI_API_KEY: OK (prefix=sk-proj...) | DB_PATH: ai_factory\data\memory.db (dir exists=True) | DEPLOYMENTS_DIR: deployments (exists=True)
2025-10-21 17:29:10 | OPENAI_API_KEY: OK (prefix=sk-proj...) | DB_PATH: ai_factory\data\memory.db (dir exists=True) | DEPLOYMENTS_DIR: deployments (exists=True)
2025-10-21 17:29:18 | OPENAI_API_KEY: OK (prefix=sk-proj...) | DB_PATH: ai_factory\data\memory.db (dir exists=True) | DEPLOYMENTS_DIR: deployments (exists=True)
2025-10-21 17:52:34 | OPENAI_API_KEY: OK (prefix=sk-proj...) | DB_PATH: ai_factory\data\memory.db (dir exists=True) | DEPLOYMENTS_DIR: deployments (exists=True)
2025-10-21 17:58:52 | OPENAI_API_KEY: OK (prefix=sk-proj...) | DB_PATH: ai_factory\data\memory.db (dir exists=True) | DEPLOYMENTS_DIR: deployments (exists=True)
2025-10-21 18:04:32 | OPENAI_API_KEY: OK (prefix=sk-proj...) | DB_PATH: ai_factory\data\memory.db (dir exists=True) | DEPLOYMENTS_DIR: deployments (exists=True)
2025-10-21 18:26:57 | OPENAI_API_KEY: OK (prefix=sk-proj...) | DB_PATH: ai_factory\data\memory.db (dir exists=True) | DEPLOYMENTS_DIR: deployments (exists=True)
2025-10-21 18:27:53 | OPENAI_API_KEY: OK (prefix=sk-proj...) | DB_PATH: ai_factory\data\memory.db (dir exists=True) | DEPLOYMENTS_DIR: deployments (exists=True)
2025-10-22 14:34:28 | OPENAI_API_KEY: OK (prefix=sk-proj...) | DB_PATH: ai_factory\data\memory.db (dir exists=True) | DEPLOYMENTS_DIR: deployments (exists=True)
2025-10-22 14:35:15 | OPENAI_API_KEY: OK (prefix=sk-proj...) | DB_PATH: ai_factory\data\memory.db (dir exists=True) | DEPLOYMENTS_DIR: deployments (exists=True)
2025-10-22 14:36:40 | OPENAI_API_KEY: OK (prefix=sk-proj...) | DB_PATH: ai_factory\data\memory.db (dir exists=True) | DEPLOYMENTS_DIR: deployments (exists=True)
2025-10-22 14:38:01 | OPENAI_API_KEY: OK (prefix=sk-proj...) | DB_PATH: ai_factory\data\memory.db (dir exists=True) | DEPLOYMENTS_DIR: deployments (exists=True)
2025-10-22 15:18:01 | OPENAI_API_KEY: OK (prefix=sk-proj...) | DB_PATH: ai_factory\data\memory.db (dir exists=True) | DEPLOYMENTS_DIR: deployments (exists=True)
2025-10-22 15:28:21 | OPENAI_API_KEY: OK (prefix=sk-proj...) | DB_PATH: ai_factory\data\memory.db (dir exists=True) | DEPLOYMENTS_DIR: deployments (exists=True)
2025-10-22 15:30:28 | OPENAI_API_KEY: OK (prefix=sk-proj...) | DB_PATH: ai_factory\data\memory.db (dir exists=True) | DEPLOYMENTS_DIR: deployments (exists=True)
2025-10-22 15:33:00 | OPENAI_API_KEY: OK (prefix=sk-proj...) | DB_PATH: ai_factory\data\memory.db (dir exists=True) | DEPLOYMENTS_DIR: deployments (exists=True)
2025-10-22 15:51:30 | OPENAI_API_KEY: OK (prefix=sk-proj...) | DB_PATH: ai_factory\data\memory.db (dir exists=True) | DEPLOYMENTS_DIR: deployments (exists=True)
2025-10-22 15:55:11 | OPENAI_API_KEY: OK (prefix=sk-proj...) | DB_PATH: ai_factory\data\memory.db (dir exists=True) | DEPLOYMENTS_DIR: deployments (exists=True)
2025-10-22 16:23:26 | OPENAI_API_KEY: OK (prefix=sk-proj...) | DB_PATH: ai_factory\data\memory.db (dir exists=True) | DEPLOYMENTS_DIR: deployments (exists=True)
2025-10-22 16:46:43 | OPENAI_API_KEY: OK (prefix=sk-proj...) | DB_PATH: ai_factory\data\memory.db (dir exists=True) | DEPLOYMENTS_DIR: deployments (exists=True)
2025-10-24 20:41:59 | OPENAI_API_KEY: OK (prefix=sk-proj...) | DB_PATH: ai_factory\data\memory.db (dir exists=True) | DEPLOYMENTS_DIR: deployments (exists=True)
2025-10-24 20:52:07 | OPENAI_API_KEY: OK (prefix=sk-proj...) | DB_PATH: ai_factory\data\memory.db (dir exists=True) | DEPLOYMENTS_DIR: deployments (exists=True)
